"PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
914475020,80,"RL",76,9880,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","SLvl",6,6,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",522,"Unf",0,574,1096,"GasA","TA","Y","SBrkr",1118,0,0,1118,1,0,1,0,3,1,"TA",6,"Typ",1,"Po","Attchd",1977,"Fin",1,358,"TA","TA","Y",203,0,0,0,0,576,"Gd","GdPrv",NA,0,7,2008,"WD ","Normal",171000
531375100,20,"RL",63,13072,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",941,"Unf",0,217,1158,"GasA","Ex","Y","SBrkr",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,"Typ",0,NA,"Detchd",2006,"Unf",2,576,"TA","TA","Y",0,50,0,0,0,0,NA,NA,NA,0,5,2006,"New","Partial",158000
527131110,120,"RL",45,6264,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",8,5,1997,1997,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Ex","TA","Mn","GLQ",656,"Unf",0,1008,1664,"GasA","Ex","Y","SBrkr",1682,0,0,1682,1,0,1,1,1,1,"Gd",6,"Min1",1,"TA","Attchd",1997,"Fin",2,528,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,7,2008,"WD ","Normal",247900
908152270,20,"RL",60,7024,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",1024,"Unf",0,108,1132,"GasA","Ex","Y","SBrkr",1132,0,0,1132,1,0,1,1,2,1,"Gd",5,"Typ",0,NA,"Attchd",2005,"Fin",2,451,"TA","TA","Y",252,64,0,0,0,0,NA,NA,NA,0,6,2008,"WD ","Normal",176000
533213130,160,"FV",24,2280,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",6,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","BrkFace",342,"TA","TA","PConc","Gd","TA","No","GLQ",565,"Unf",0,179,744,"GasA","Gd","Y","SBrkr",757,744,0,1501,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Detchd",1999,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,9,2007,"WD ","Normal",176500
528439040,20,"RL",74,8847,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",148,"Gd","TA","PConc","Gd","TA","Av","GLQ",769,"Unf",0,769,1538,"GasA","Ex","Y","SBrkr",1538,0,0,1538,1,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2005,"RFn",2,484,"TA","TA","Y",146,40,0,0,0,0,NA,NA,NA,0,12,2007,"WD ","Normal",260000
527145080,120,"RL",43,5005,"Pave",NA,"IR1","HLS","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","ALQ",263,"Unf",0,1017,1280,"GasA","Ex","Y","SBrkr",1280,0,0,1280,0,0,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"RFn",2,506,"TA","TA","Y",0,82,0,0,144,0,NA,NA,NA,0,1,2010,"WD ","Normal",191500
1007100110,70,"I (all)",NA,56600,"Pave",NA,"IR1","Low","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2.5Unf",5,1,1900,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,686,686,"GasA","Ex","Y","SBrkr",1150,686,0,1836,0,0,2,0,4,1,"TA",7,"Maj1",0,NA,"Detchd",1900,"Unf",1,288,"TA","Fa","N",0,0,0,0,0,0,NA,NA,NA,0,1,2008,"WD ","Normal",103000
534175080,20,"RL",78,10140,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","RRAn","Norm","1Fam","1Story",7,5,1998,1999,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","LwQ",144,"GLQ",1127,379,1650,"GasA","Ex","Y","SBrkr",1680,0,0,1680,1,0,2,0,3,1,"Gd",7,"Maj1",1,"TA","Attchd",1998,"Fin",2,583,"TA","TA","Y",78,73,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","Normal",213250
527108040,60,"RL",72,10463,"Pave",NA,"IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",8,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,893,893,"GasA","Ex","Y","SBrkr",901,900,0,1801,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,800,"TA","TA","Y",0,116,0,0,0,0,NA,NA,NA,0,6,2006,"WD ","Normal",239900
527354040,20,"RL",80,10400,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,5,1988,1988,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",102,"TA","TA","CBlock","Gd","TA","Av","GLQ",929,"Unf",0,916,1845,"GasA","Gd","Y","SBrkr",1872,0,0,1872,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1988,"Fin",2,604,"TA","TA","Y",197,39,0,0,0,0,NA,NA,NA,0,6,2006,"WD ","Normal",241500
907203040,20,"RL",70,9800,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,7,1972,1972,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","ALQ",894,"Unf",0,0,894,"GasA","TA","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1975,"Unf",2,552,"TA","TA","Y",256,0,0,0,0,0,NA,"GdWo",NA,0,7,2006,"WD ","Abnorml",149900
923201020,20,"RL",85,15300,"Pave",NA,"Reg","Bnk","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,5,1965,1977,"Hip","CompShg","Plywood","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",42,"Unf",0,1026,1068,"GasA","TA","Y","SBrkr",1264,0,0,1264,1,0,1,0,2,1,"TA",7,"Typ",1,"TA","Attchd",1965,"Unf",2,528,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",169000
907181090,60,"RL",68,9272,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",500,"Unf",0,342,842,"GasA","Ex","Y","SBrkr",856,893,0,1749,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1999,"RFn",2,515,"TA","TA","Y",140,85,0,0,0,0,NA,NA,NA,0,6,2006,"WD ","Normal",196000
533212010,160,"FV",30,3182,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,600,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,0,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",151000
914476010,20,"RL",75,10125,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",641,"LwQ",279,276,1196,"GasA","TA","Y","SBrkr",1279,0,0,1279,0,1,2,0,3,1,"TA",6,"Typ",2,"Fa","Detchd",1980,"Unf",2,473,"TA","TA","Y",238,83,0,0,0,0,NA,"MnPrv",NA,0,2,2008,"WD ","Normal",171500
535401080,20,"RL",NA,9830,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",72,"Rec",258,733,1063,"GasA","Ex","Y","SBrkr",1287,0,0,1287,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1997,"Fin",2,576,"TA","TA","Y",364,17,0,0,182,0,NA,NA,NA,0,3,2010,"WD ","Normal",162000
906225210,85,"RL",73,9069,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",747,"Unf",0,189,936,"GasA","Ex","Y","SBrkr",996,0,0,996,1,0,1,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"Unf",2,564,"TA","TA","Y",120,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",147000
907420110,60,"RL",64,9045,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",5,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Unf",0,768,768,"GasA","Ex","Y","SBrkr",768,768,0,1536,0,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",2005,"Fin",2,400,"TA","TA","Y",0,40,0,0,0,0,NA,NA,NA,0,6,2007,"WD ","Normal",167000
905109130,60,"RL",80,14000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","2Story",7,5,1996,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1201,"Unf",0,105,1306,"GasA","Ex","Y","SBrkr",1306,954,0,2260,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1996,"RFn",2,533,"TA","TA","Y",296,44,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",328000
528174060,120,"RL",34,5381,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",135,"Gd","TA","PConc","Gd","TA","Av","ALQ",900,"Unf",0,406,1306,"GasA","Ex","Y","SBrkr",1306,0,0,1306,1,0,2,0,1,1,"Gd",5,"Typ",1,"Gd","Attchd",2005,"RFn",2,624,"TA","TA","Y",170,63,0,0,0,0,NA,NA,NA,0,8,2009,"WD ","Normal",196000
532351150,90,"RM",68,8927,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","Duplex","1.5Fin",6,6,1977,1977,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1286,368,0,1654,0,0,2,0,4,2,"TA",10,"Typ",0,NA,"Attchd",1977,"RFn",2,528,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,8,2006,"WD ","Normal",119500
903201020,30,"RL",NA,6615,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story",6,6,1923,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1022,1022,"GasA","TA","N","FuseA",1432,0,0,1432,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","BuiltIn",1923,"Unf",1,216,"Fa","TA","Y",266,61,0,0,0,0,NA,"GdWo",NA,0,9,2009,"WD ","Normal",149000
909451020,160,"RM",24,1879,"Pave",NA,"Reg","Lvl","AllPub","CulDSac","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","No","GLQ",366,"Unf",0,150,516,"GasA","TA","Y","SBrkr",516,516,0,1032,0,0,1,0,2,1,"TA",5,"Typ",1,"TA","Detchd",1980,"Unf",2,462,"TA","TA","Y",213,0,0,0,0,0,NA,"GdPrv",NA,0,12,2008,"WD ","Normal",116500
534175140,90,"RL",75,9750,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","RRAn","Norm","Duplex","1Story",5,6,1965,1965,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1625,1625,"GasA","Ex","Y","SBrkr",1625,0,0,1625,0,0,2,0,4,2,"TA",8,"Typ",0,NA,"Detchd",1965,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,8,2008,"ConLD","Normal",140500
916475110,60,"RL",85,14191,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,967,967,"GasA","Ex","Y","SBrkr",993,915,0,1908,0,0,2,1,4,1,"Gd",9,"Typ",0,NA,"Attchd",2002,"Fin",2,431,"TA","TA","Y",135,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",202900
528480110,60,"FV",65,8125,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,858,858,"GasA","Ex","Y","SBrkr",858,858,0,1716,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2005,"RFn",2,615,"TA","TA","Y",0,53,0,0,0,0,NA,NA,NA,0,2,2006,"WD ","Normal",200825
535179020,20,"RL",80,10032,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1959,1959,"Gable","CompShg","Wd Sdng","Wd Sdng","Stone",432,"TA","TA","CBlock","TA","TA","No","Rec",734,"Unf",0,510,1244,"GasA","Ex","Y","SBrkr",1580,0,0,1580,1,0,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1956,"Unf",2,440,"TA","TA","Y",0,28,0,0,160,0,NA,"GdWo",NA,0,6,2010,"WD ","Normal",159500
527425140,20,"RL",60,9000,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,6,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","TA","TA","No","ALQ",616,"Unf",0,248,864,"GasA","TA","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1974,"Unf",2,528,"TA","TA","Y",0,0,0,0,0,0,NA,"GdWo",NA,0,5,2007,"WD ","Normal",120500
909426080,90,"RL",78,15600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","Duplex","2Story",5,6,1950,1991,"Gable","CompShg","VinylSd","VinylSd","BrkFace",430,"TA","Gd","CBlock","TA","TA","No","ALQ",375,"Unf",0,657,1032,"GasA","Ex","Y","SBrkr",1102,1075,0,2177,0,0,2,1,5,2,"TA",11,"Typ",0,NA,"Detchd",1950,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",215000
902100010,30,"RM",60,6978,"Pave",NA,"Reg","Bnk","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",5,7,1926,1980,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,850,850,"GasA","TA","Y","SBrkr",960,0,0,960,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1981,"RFn",2,576,"TA","TA","Y",0,0,116,0,0,0,NA,NA,NA,0,4,2007,"WD ","Normal",103000
527302110,20,"RL",85,13175,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1978,1988,"Gable","CompShg","Plywood","Plywood","Stone",119,"TA","TA","CBlock","Gd","TA","No","ALQ",790,"Rec",163,589,1542,"GasA","TA","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"TA",7,"Min1",2,"TA","Attchd",1978,"Unf",2,500,"TA","TA","Y",349,0,0,0,0,0,NA,"MnPrv",NA,0,2,2010,"WD ","Normal",210000
533253030,120,"RL",NA,3760,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Greens","Norm","Norm","Twnhs","1Story",8,5,1980,1980,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","Gd","TA","Gd","GLQ",1009,"LwQ",182,44,1235,"GasA","Gd","Y","SBrkr",1235,0,0,1235,1,0,1,0,1,1,"TA",4,"Typ",3,"TA","Attchd",1980,"Fin",2,484,"TA","TA","Y",133,78,0,0,0,0,NA,NA,NA,0,5,2006,"WD ","Normal",214000
528250010,80,"RL",NA,11950,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","",NA,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"GasA","Ex","Y","SBrkr",754,640,0,1394,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2003,"Fin",2,400,"TA","TA","Y",100,0,0,0,0,0,NA,NA,NA,0,10,2007,"WD ","Normal",165500
534479130,50,"RL",79,9490,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,7,1941,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",403,"Rec",165,238,806,"GasA","TA","Y","FuseA",958,620,0,1578,1,0,1,0,3,1,"Fa",5,"Typ",2,"TA","Attchd",1941,"Unf",1,240,"TA","TA","Y",0,0,32,0,0,0,NA,"MnPrv",NA,0,8,2006,"WD ","Normal",133000
924152030,60,"RL",74,12961,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","TA","Mn","GLQ",944,"Unf",0,208,1152,"GasA","Ex","Y","SBrkr",1152,645,0,1797,1,0,2,1,3,1,"Gd",7,"Typ",1,"Fa","Attchd",1993,"Fin",2,616,"TA","TA","Y",162,312,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",231000
